question_id,question_text,answer,question_title,hashtags,topics_algebra,topics_geometry,topics_trignometry,topics_arithmetic,calculator,answer_type,chart,length
problem1,Genius is one percent inspiration and ninety-nine percent perspiration.,1,Thomas Edison,"Algebra,No Calculator,Grid-In,Chart,Short",Algebra,,,,No Calculator,Grid-In,Chart,Short
problem2,You can observe a lot just by watching.,2,Yogi Berra,"Algebra,Trignometry,Calculator,Grid-In,No Chart,Long",Algebra,,Trignometry,,Calculator,Grid-In,No Chart,Long
problem3,A house divided against itself cannot stand.,3,Abraham Lincoln,"Algebra,Geometry,Trignometry,Arithmetic,No Calculator,Grid-In,No Chart,Long",Algebra,Geometry,Trignometry,Arithmetic,No Calculator,Grid-In,No Chart,Long
problem4,Difficulties increase the nearer we get to the goal.,4,Johann Wolfgang von Goethe,"Trignometry,Calculator,Multiple Choice,Chart,Long",,,Trignometry,,Calculator,Multiple Choice,Chart,Long
problem5,Fate is in your hands and no one elses,5,Byron Pulsifer,"Geometry,Arithmetic,No Calculator,Grid-In,No Chart,Short",,Geometry,,Arithmetic,No Calculator,Grid-In,No Chart,Short
problem6,Be the chief but never the lord.,6,Lao Tzu,"Trignometry,No Calculator,Multiple Choice,Chart,Short",,,Trignometry,,No Calculator,Multiple Choice,Chart,Short
problem7,Nothing happens unless first we dream.,7,Carl Sandburg,"Geometry,Trignometry,No Calculator,Grid-In,No Chart,Long",,Geometry,Trignometry,,No Calculator,Grid-In,No Chart,Long
problem8,Well begun is half done.,8,Aristotle,"Algebra,No Calculator,Multiple Choice,No Chart,Short",Algebra,,,,No Calculator,Multiple Choice,No Chart,Short
problem9,"Life is a learning experience, only if you learn.",9,Yogi Berra,"Algebra,Geometry,No Calculator,Multiple Choice,No Chart,Short",Algebra,Geometry,,,No Calculator,Multiple Choice,No Chart,Short
problem10,Self-complacency is fatal to progress.,10,Margaret Sangster,"Algebra,Geometry,Trignometry,Arithmetic,No Calculator,Grid-In,Chart,Long",Algebra,Geometry,Trignometry,Arithmetic,No Calculator,Grid-In,Chart,Long
problem11,Peace comes from within. Do not seek it without.,11,Buddha,"Algebra,Trignometry,Arithmetic,No Calculator,Multiple Choice,No Chart,Long",Algebra,,Trignometry,Arithmetic,No Calculator,Multiple Choice,No Chart,Long
problem12,What you give is what you get.,12,Byron Pulsifer,"Geometry,Trignometry,No Calculator,Grid-In,No Chart,Short",,Geometry,Trignometry,,No Calculator,Grid-In,No Chart,Short
problem13,We can only learn to love by loving.,13,Iris Murdoch,"Algebra,Geometry,Trignometry,No Calculator,Grid-In,No Chart,Long",Algebra,Geometry,Trignometry,,No Calculator,Grid-In,No Chart,Long
